Ocupation (english)	Groups-da	Perc-da	Groups-sv	Perc-sv	Groups-ru	Perc-ru	Perc-zh	Groups-en	Perc-en	
technician	2	23	1	18	1	19	51	2	40.34.00	40.34.00
accountant	1	20	3	58	4	72		3	59.07.00	59.07.00
supervisor							43	2	38.64	38.64
engineer	2	23	2	24	2	25	23	1	0,466666667	0,466666667
worker			3	45				2	37.92	37.92
educator	4	64	5	83	5	84	53	4	70.08.00	70.08.00
clerk	3	59	3	54	5	82	43	4	69.53.00	69.53.00
counselor								4	66.48.00	66.48.00
inspector					4	79		1	06.04	06.04
mechanic	1	1	1	3	1	5		1	01.08	01.08
manager	2	29	2	40	3	42	43	2	38.51.00	38.51.00
therapist	5	81	5	92		91	16	4	76.07.00	76.07.00
administrator	3	49	5	90	4	73		3	54.86	54.86
salesperson	4	66	4	62	5	83	50	3	48.08.00	48.08.00
receptionist	5	89	5	81	5	91		5	90.06.00	90.06.00
librarian	4	75	4	76				5	83.00.00	83.00.00
advisor			2	32				2	37.09.00	37.09.00
pharmacist	4	75	5	85	2	31		3	57.00.00	57.00.00
janitor	1	17	4	74	3	46		2	34.03.00	34.03.00
psychologist	4	76	4	73	5	90		4	70.03.00	70.03.00
physician	3	52	3	51	4	70		3	37.09.00	37.09.00
carpenter	1	0	1	1	1	7	11	1	02.07	02.07
nurse	5	96	5	88	5	97		5	89.58.00	89.58.00
investigator								3	45.15.00	45.15.00
bartender	3	54	3	48				3	59.08.00	59.08.00
specialist	4	60						3	41.35.00	41.35.00
electrician	1	1	1	3	1	8	30	1	02.03	02.03
officer	2	32	2	34	1	10		2	30.42.00	30.42.00
pathologist	4	60	4	66				5	97.05.00	97.05.00
teacher	4	65	5	81	5	84		4	71.00.00	71.00.00
lawyer	3	55	2	37	3	45		2	34.05.00	34.05.00
planner			4	65				4	77.06.00	77.06.00
practitioner	3	52						4	74.79	74.79
plumber	1	0	1	1	1	10	30	1	00.07	00.07
instructor			3	46				4	62.03.00	62.03.00
surgeon		20	2	21				2	37.09.00	37.09.00
veterinarian	4	77	4	79	4	64		4	60.05.00	60.05.00
paramedic	1	9			1	10		2	32.09.00	32.09.00
examiner								4	62.46.00	62.46.00
chemist	3	53	3	53	2	31		2	36.01.00	36.01.00
machinist	1	1	1	6	1	5		1	06.07	06.07
appraiser	3	43	3	55				3	52.24.00	52.24.00
nutritionist	5	95	5	95	4	64		5	94.06.00	94.06.00
architect	3	45	3	53				2	0,889583333	0,889583333
hairdresser	5	93	5	87				5	94.02.00	94.02.00
baker	2	27	3	43	3	56		4	60.08.00	60.08.00
programmer	2	28	1	20	1	18	39	1	18.35	18.35
paralegal					4	75		5	85.04.00	85.04.00
hygienist	5	96	5	96				5	96.04.00	96.04.00
scientist	3	40	3	46	3	40	30	3	41.94	41.94
dispatcher	2	39	3	48			18	3	56.03.00	56.03.00
cashier	3	54	4	70	5	81		4	72.05.00	72.05.00
auditor	2	21	3	58	4	79		3	59.07.00	59.07.00
dietitian	5	93	5	95				5	94.06.00	94.06.00
painter	2	29	1	8	3	57		1	05.07	05.07
broker	2	28	1	19			36	3	55.05.00	55.05.00
chef	2	38	3	52				1	19.06	19.06
doctor	3	52	3	44	4	70		2	37.09.00	37.09.00
firefighter	1	16	1	6	1	14		1	03.05	03.05
secretary	5	80	5	83	5	91		5	94.06.00	94.06.00
